gene	Ace_24	Ace_24	Ace_24	Ace_24	Ace_24	Ace_24	Ace_24
ENSRNOG00000000001	12	4	12	17	8	5	23
ENSRNOG00000000007	4	0	1	3	3	4	1
ENSRNOG00000000008	15.2724	12.0867	17.337	13.0378	9.04759	16.8152	23.1411
ENSRNOG00000000009	4	3	3	1	2	4	0
ENSRNOG00000000010	1	2	0	5	4	4	3
ENSRNOG00000000012	24.4986	14.4754	25.1349	20.3853	12.2519	23.4821	39.4414
ENSRNOG00000000017	55	28	48	35	37	59	35
ENSRNOG00000000021	359.557	349.122	337.539	395.554	294.609	272.906	354.084
ENSRNOG00000000024	667	590	702	611	529	614	544
ENSRNOG00000000033	768	776	782	811	657	793	702
ENSRNOG00000000034	285	245	265	262	219	254	245
ENSRNOG00000000035	0	0	1	0	0	0	1
ENSRNOG00000000036	149	189	183	176	117	134	241
ENSRNOG00000000040	981.99963	783.99914	875.00038	1031.00055	728.999	851.99893	865.00029
ENSRNOG00000000041	48.0219	56.088	72.1603	54.1085	38.1006	71.1275	67.0841
ENSRNOG00000000042	1892.995	1709.002	1838.0023	1810.9985	1478.9986	1713.9956	1725.998
ENSRNOG00000000043	1458.98	1259.91	1479.84	1656.89	1259.9	1467.87	1577.92
ENSRNOG00000000044	644	610	666	735	564	695	672
ENSRNOG00000000047	1203	1055	1158	1105	970	1019	1094
ENSRNOG00000000048	1134	1054	1190	1301	961	1133	1112
ENSRNOG00000000053	157.876	147.73943	230.258	148.292	135.353	180.47509	204.507
ENSRNOG00000000054	2039	1566	1976	1918	1587	1699	1786
ENSRNOG00000000055	0	0	1	2	0	1	0
ENSRNOG00000000060	108	61	82	59	58	73	41
ENSRNOG00000000062	669	633	718	707	579	606	626
ENSRNOG00000000064	4234	4263	4666	4432	3965	4045	4714
ENSRNOG00000000065	0	1	0	0	0	0	1
ENSRNOG00000000066	564	463	548	543	385	532	503
ENSRNOG00000000068	4123	3945	4147	4205	3292	3846	4646
ENSRNOG00000000070	1172.62	1008	1133.32	1165	981	1078.55	1077
ENSRNOG00000000073	225	183	217	175	167	201	194
ENSRNOG00000000075	546	404	577	533	464	506	536
ENSRNOG00000000081	1333	1238	1380	1390	1127	1361	1394
ENSRNOG00000000082	3798.257	3236.934	3985.973	3687.304	3237.551	3759.924	4147.036
ENSRNOG00000000091	105.9	121.884	127.427	140.942	109.133	151.127	140.301
ENSRNOG00000000095	1047	906	1086	984	849	983	933
ENSRNOG00000000096	217	181	208.99976	241	197	236	205
ENSRNOG00000000097	4	0	0	0	0	1	1
ENSRNOG00000000098	1689	1544	1683	1654	1384	1622	1556
ENSRNOG00000000104	862	732	819	898	669	771	731
ENSRNOG00000000105	280.00048	226	314	355	240	309	298
ENSRNOG00000000108	590	567	695	619	557	576	614
ENSRNOG00000000109	0	0	0	0	0	0	0
ENSRNOG00000000111	308	219	244	299	231	253	216
ENSRNOG00000000112	803.997	650.443	795.762	793.045	640.432	810.422	763.996
ENSRNOG00000000113	182.971	154.262	202.363	173.904	139.681	181.244	190.264
ENSRNOG00000000121	440.6722	398.2111	413.7252	410.7641	360.594	384.4999	315.3777
ENSRNOG00000000122	1685	1573	1690.57	1690	1373	1514	1721
ENSRNOG00000000123	1281	1267	1210	1143	956	1016	1101
ENSRNOG00000000124	0	0	0	0	0	0	0
ENSRNOG00000000127	2117.997	2023.996	2096.003	2208.999	1641.0049	2036.004	1912.004
ENSRNOG00000000129	48	37	24	29	25	48	24
ENSRNOG00000000130	749.0001	678.9996	820.0002	819.9996	635.0001	778	590.0005
ENSRNOG00000000133	1317	1090	1253	1308	1116	1225	1198
ENSRNOG00000000137	2	3	4	1	1	5	1
ENSRNOG00000000138	22.00002	11	14.99999	27	15	13	7
ENSRNOG00000000142	236	188	297	261	247	235	269
ENSRNOG00000000145	954	801	879	913	662	823	753
ENSRNOG00000000150	569	444	561	492	462	488	403
ENSRNOG00000000151	319	325	327	338	292	289	348
ENSRNOG00000000155	609	575	617	603	497	595	602
ENSRNOG00000000156	75.99997099	75.00004412	94.00001708	68.9999601	54.9999792	74.9999793	69.00006437
ENSRNOG00000000157	858	839	905	897	833	909	904
ENSRNOG00000000158	45	32	42	35	33	40	21
ENSRNOG00000000161	457.00049	381	455	411	363	428	515
ENSRNOG00000000164	3857	3388	4036	4007	3364	3839	4265
ENSRNOG00000000165	19	13	13	10	29.99995	22	16
ENSRNOG00000000166	106	80	105	88	101	116	88
ENSRNOG00000000167	1	1	1	1	1	3	4
ENSRNOG00000000168	462	408	419	490	418	518	381
ENSRNOG00000000169	209.193	187.565	173.33	165.426	193.367	190.724	196.86
ENSRNOG00000000170	1501	1293	1421	1390	1128	1366	1339
ENSRNOG00000000172	279	231.00014	280	274	267	256	250
ENSRNOG00000000175	746.0003	771	727	804	599.9997	771	676
ENSRNOG00000000177	181	122	139	153	102	118	89
ENSRNOG00000000184	18	22	27	21	10	27	23
ENSRNOG00000000185	1486	1336	1527	1633	1306	1483	1519
ENSRNOG00000000186	747	742	758	790	706	624	808
ENSRNOG00000000187	47	55	47	53	35	51	46
ENSRNOG00000000190	539	592	509	708	483	590	575
ENSRNOG00000000195	436.626	445.691	453.637	321.449	221.639	490.072	438.849
ENSRNOG00000000196	7.80268	6.85369	2.85003	12.3482	7.37471	13.4469	9.62073
ENSRNOG00000000199	0	0	0	0	0	0	0
ENSRNOG00000000201	61.7026	56.9824	63.0198	46.0116	31.5181	41.8676	37.5655
ENSRNOG00000000204	1490.9722	1284.979	1565.975	1550.98173	1266.9948	1429.99909896	1562.9815
ENSRNOG00000000219	1321	1243	1353	1367	1141	1186	1332
ENSRNOG00000000221	837	730	781	767	701	743	753
ENSRNOG00000000230	530.027	448.606	549.842	572.523	436.298	512.028	603.531
ENSRNOG00000000231	830	729	742	787	697	738	766
ENSRNOG00000000233	31.8409	30.4068	53.0662	25.8394	36.1534	49.6081	29.4695
ENSRNOG00000000236	1998	1743	2017	1961	1674	1883	1906
ENSRNOG00000000237	344	274	323	333	253	317	279
ENSRNOG00000000239	143	114	139	114	110	137	138
ENSRNOG00000000244	169	184	195	164	148	155	165
ENSRNOG00000000245	275.9995	242.0003	258	245.9997	188	273.9999	179.0001
ENSRNOG00000000246	1813	1521	1897	1904	1528	1743	1727
ENSRNOG00000000247	942	771	902	918	782	923	838
ENSRNOG00000000248	3454	2728	3549	3430	2967	3599	3536
ENSRNOG00000000249	156	164	155	203	146	194	190
ENSRNOG00000000250	441	357	421	400	355	401	374
ENSRNOG00000000251	2	0	1	0	0	1	0
ENSRNOG00000000252	2	7	1	3	2	1	1
ENSRNOG00000000257	29	14	31	19	22	27	33
ENSRNOG00000000258	506	427	534	469	453	474	452
ENSRNOG00000000262	472	409	535	477	438	451	414
ENSRNOG00000000264	763	623	697	750	567	671	637
ENSRNOG00000000274	21	17.00004	21.99995	14	8	17.00002	14
ENSRNOG00000000275	20	19	16	14	6	17	16
ENSRNOG00000000277	349	347.000024018	353	348.000314385	290	372.999533	368
ENSRNOG00000000279	843	730	892	923	816	873	866
ENSRNOG00000000281	304	220	258	221	195.9998	258.0002	248
ENSRNOG00000000282	0	0	0	0	0	0	0
ENSRNOG00000000283	591	492	541	505	450	506	473
ENSRNOG00000000288	889	668	773	958	670	761	827
ENSRNOG00000000299	1198.9954	1139.0042	1220.9986	1190.0007	933.9998	1071.9951	1062.99555
ENSRNOG00000000302	1325.0017	1262	1271.001331	1365.9975	1116	1313.003	1314.0038
ENSRNOG00000000303	366	354	368	354	310	315	259
ENSRNOG00000000304	6404	6112	6437	7140	5888	6422	6777
ENSRNOG00000000306	284	205	240	271	226	218	233
ENSRNOG00000000307	354	345	329	319	291	303	360
ENSRNOG00000000308	321.893	298.378	351.925	323.62	298.917	335.144	295.636
ENSRNOG00000000312	648	548	648	657	494	616	562
ENSRNOG00000000314	2165.999	1933.003	2096.995	2177	1749	1995.002	2127.003
